id,application_id,location,status,created_at,updated_at,end,start,interview_id,organizer_id,_fivetran_deleted,_fivetran_synced
226787368,187163709,,complete,2021-02-12 13:14:45.784000,2021-02-19 12:45:44.369000,2021-02-15 11:30:00.000000,2021-02-15 11:00:00.000000,18208835,1298406,false,2021-03-09 14:08:14.031000
234813274,192623051,https://us02web.zoom.us/j/82609226466?pwd=czgvcHFoSFdoVlpEZHZZNndCeGx2dz09,complete,2021-03-29 14:31:28.104000,2021-04-09 06:34:02.740000,2021-03-30 15:00:00.000000,2021-03-30 14:00:00.000000,20721858,1134197,false,2021-04-09 12:28:40.892000
181042256,153925895,n/a,complete,2020-03-16 10:58:04.292000,2021-05-10 12:35:12.102000,2020-03-16 07:15:00.000000,2020-03-16 06:15:00.000000,12936759,1298406,false,2021-05-10 18:32:28.769000
243187633,199265093,,complete,2021-05-14 11:37:42.299000,2021-05-19 18:52:21.416000,2021-05-19 09:00:00.000000,2021-05-19 08:30:00.000000,21389446,1548499,false,2021-05-20 00:27:40.974000
179220342,152996881,Remote,complete,2020-03-03 15:44:48.608000,2020-03-10 14:43:35.166000,2020-03-05 20:00:00.000000,2020-03-05 17:00:00.000000,14724937,473239,false,2021-03-09 14:08:13.764000
223955866,185792301,,complete,2021-01-28 14:49:44.792000,2021-02-12 14:26:22.365000,2021-02-10 15:00:00.000000,2021-02-10 14:15:00.000000,18093186,637602,false,2021-03-09 14:08:14.030000
224182170,186287358,https://us02web.zoom.us/j/4813673829,complete,2021-01-29 16:39:54.039000,2021-02-11 11:49:08.234000,2021-02-01 14:30:00.000000,2021-02-01 13:30:00.000000,17662735,648036,false,2021-03-09 14:08:14.030000
238689440,192192007,https://us02web.zoom.us/j/87865930298?pwd=RkFyeklNUnZCV09ibFl0WUVpTmovQT09,complete,2021-04-20 10:23:28.939000,2021-05-17 07:46:57.978000,2021-04-29 11:00:00.000000,2021-04-29 10:00:00.000000,20499551,1298406,false,2021-05-17 12:28:25.764000
243514773,198869759,,complete,2021-05-17 13:38:53.208000,2021-05-21 09:15:52.528000,2021-05-20 11:00:00.000000,2021-05-20 10:30:00.000000,21525374,473161,false,2021-05-21 12:55:58.853000
226566990,186419540,,complete,2021-02-11 12:46:44.804000,2021-02-19 06:14:06.842000,2021-02-16 08:00:00.000000,2021-02-16 07:00:00.000000,16927938,1298406,false,2021-03-09 14:08:14.030000
227274266,187059155,,complete,2021-02-16 09:34:27.456000,2021-02-19 13:35:44.066000,2021-02-17 09:00:00.000000,2021-02-17 08:30:00.000000,18584058,484360,false,2021-03-09 14:08:14.031000
231691954,190154850,,complete,2021-03-11 12:59:48.803000,2021-03-31 12:29:45.329000,2021-03-16 09:00:00.000000,2021-03-16 08:00:00.000000,20391937,733990,false,2021-03-31 12:34:10.768000
174228881,148020603,Yoco - Shortmarket Street,complete,2020-01-31 12:24:30.914000,2020-02-19 13:48:53.481000,2020-02-05 09:00:00.000000,2020-02-05 08:15:00.000000,14375868,473239,false,2021-03-09 14:08:13.246000
177842149,150301476,"Yoco - Room C, Shortmarket Hub-6-Meeting Room C (8)",complete,2020-02-24 10:37:49.388000,2020-03-05 12:53:14.104000,2020-02-28 09:30:00.000000,2020-02-28 08:45:00.000000,6631324,1294352,false,2021-03-09 14:08:13.513000
199708714,151084968,https://us02web.zoom.us/j/83189801518,complete,2020-08-25 14:30:38.685000,2020-08-31 09:32:53.950000,2020-08-25 11:30:00.000000,2020-08-25 11:00:00.000000,14663620,1298406,false,2021-03-09 14:08:13.514000
226640530,181012088,,complete,2021-02-11 18:34:26.607000,2021-03-09 16:12:26.274000,2021-02-15 10:30:00.000000,2021-02-15 10:00:00.000000,16402591,1298406,false,2021-03-09 20:45:22.459000
181080102,151455611,Yoco - Remote via Zoom,complete,2020-03-16 16:24:37.174000,2021-05-10 12:46:38.585000,2020-04-07 10:00:00.000000,2020-04-07 09:15:00.000000,14430307,473239,false,2021-05-10 18:32:28.769000
232251965,190154850,,complete,2021-03-15 14:22:48.416000,2021-03-31 12:29:45.329000,2021-03-16 11:45:00.000000,2021-03-16 11:00:00.000000,20391947,733990,false,2021-03-31 12:34:10.769000
244985300,198442482,,complete,2021-05-25 13:27:20.976000,2021-05-26 17:46:25.373000,2021-05-26 10:00:00.000000,2021-05-26 09:30:00.000000,21525374,473161,false,2021-05-26 18:55:27.540000
173640204,149007900,,complete,2020-01-28 08:53:38.847000,2020-02-04 12:10:40.473000,2020-01-31 11:00:00.000000,2020-01-31 08:00:00.000000,11023970,1294352,false,2021-03-09 14:08:13.512000
234221291,188293947,,scheduled,2021-03-25 07:16:03.810000,2021-03-25 07:16:04.229000,2021-03-26 09:00:00.000000,2021-03-26 08:00:00.000000,19618100,1548499,false,2021-03-25 08:38:01.842000
226080049,187732932,,complete,2021-02-09 11:22:33.623000,2021-04-12 15:17:56.157000,2021-02-09 06:30:00.000000,2021-02-09 06:00:00.000000,18208835,1298406,false,2021-04-12 18:28:26.857000
243527285,198212832,,complete,2021-05-17 14:36:33.086000,2021-05-20 12:39:33.849000,2021-05-20 11:00:00.000000,2021-05-20 10:30:00.000000,21343135,1298406,false,2021-05-20 18:28:16.545000
244035433,199868906,,complete,2021-05-19 16:53:15.421000,2021-05-26 17:03:25.079000,2021-05-26 12:00:00.000000,2021-05-26 11:00:00.000000,21489631,1298406,false,2021-05-26 18:55:27.727000
178057995,148194761,"Yoco - Shortmarket, Shortmarket Hub-7-Boardroom (12)",complete,2020-02-25 09:41:18.456000,2020-03-13 14:39:59.046000,2020-03-10 09:00:00.000000,2020-03-10 08:30:00.000000,14422040,1298406,false,2021-03-09 14:08:13.246000
227264316,187025117,,complete,2021-02-16 07:48:09.448000,2021-04-16 13:54:13.653000,2021-02-16 12:45:00.000000,2021-02-16 12:00:00.000000,16402588,1298406,false,2021-04-16 18:28:18.007000
243175922,198203089,,complete,2021-05-14 09:13:37.323000,2021-05-19 06:43:13.902000,2021-05-18 15:00:00.000000,2021-05-18 14:00:00.000000,21205724,1418808,false,2021-05-19 12:28:37.884000
230149997,190481902,,complete,2021-03-03 12:38:50.347000,2021-03-08 10:21:01.847000,2021-03-05 11:00:00.000000,2021-03-05 10:00:00.000000,20270983,1298406,false,2021-03-09 14:08:14.264000
237454063,192049169,,complete,2021-04-13 09:43:28.274000,2021-04-20 10:37:39.299000,2021-04-15 09:00:00.000000,2021-04-15 08:00:00.000000,17206418,1298406,false,2021-04-20 12:28:18.800000
243188657,198974807,,complete,2021-05-14 11:51:48.424000,2021-05-20 18:21:37.311000,2021-05-17 15:00:00.000000,2021-05-17 14:30:00.000000,21389446,1548499,false,2021-05-21 00:28:13.214000
244251912,199868906,,complete,2021-05-20 16:31:44.215000,2021-05-27 14:39:39.870000,2021-05-27 09:00:00.000000,2021-05-27 08:00:00.000000,21489632,1298406,false,2021-05-27 18:55:39.948000
172376110,147759734,Shortmarket Hub-6-Meeting Room A (4),complete,2020-01-20 08:04:09.371000,2020-03-11 17:11:49.355000,2020-02-06 09:30:00.000000,2020-02-06 08:30:00.000000,13954048,552616,false,2021-03-09 14:08:13.246000
234997804,186265781,,complete,2021-03-30 06:57:12.357000,2021-04-21 16:34:57.143000,2021-04-01 11:00:00.000000,2021-04-01 10:00:00.000000,20800663,1548499,false,2021-04-21 18:28:48.162000
171397571,143434989,"56 Shortmarket Street, Shortmarket Hub-6-Meeting Room P (4)",complete,2020-01-13 20:46:24.736000,2020-02-14 15:43:47.225000,2020-02-04 10:00:00.000000,2020-02-04 09:00:00.000000,13954048,552616,false,2021-03-09 14:08:12.996000
226552404,186824573,,complete,2021-02-11 10:29:07.515000,2021-03-16 15:15:53.641000,2021-02-15 07:00:00.000000,2021-02-15 06:30:00.000000,18468559,484360,false,2021-03-16 18:33:07.539000
234239596,193141171,,complete,2021-03-25 09:45:19.752000,2021-04-21 09:34:42.875000,2021-03-30 08:45:00.000000,2021-03-30 08:15:00.000000,18095707,592580,false,2021-04-21 12:29:27.273000
180731914,153491176,Yoco - Remote (Link in description),complete,2020-03-12 19:01:36.664000,2021-05-10 12:39:09.818000,2020-03-24 13:45:00.000000,2020-03-24 13:00:00.000000,14887681,473239,false,2021-05-10 18:32:28.769000
221616003,184643009,,complete,2021-01-15 08:53:14.526000,2021-01-20 18:06:14.372000,2021-01-20 12:30:00.000000,2021-01-20 12:00:00.000000,18095707,592580,false,2021-03-09 14:08:13.765000
229923761,190077015,,complete,2021-03-02 14:42:09.237000,2021-03-11 12:46:59.998000,2021-03-10 10:30:00.000000,2021-03-10 10:00:00.000000,20391894,733990,false,2021-03-11 20:21:34.963000
243187992,198977818,,complete,2021-05-14 11:42:44.889000,2021-05-20 18:22:32.012000,2021-05-19 08:00:00.000000,2021-05-19 07:30:00.000000,21389446,1548499,false,2021-05-21 00:28:13.214000
178281343,152194615,Yoco - Remote,awaiting_feedback,2020-02-26 11:12:21.118000,2020-03-21 12:00:09.808000,2020-03-21 11:00:00.000000,2020-03-21 09:00:00.000000,14724937,1294352,false,2021-03-09 14:08:13.515000
240695879,197356404,https://us02web.zoom.us/j/87673111807?pwd=WjVTNkVITytmN2dDUDB3OWJEYmRNQT09,complete,2021-04-30 13:52:11.471000,2021-06-01 18:15:15.349000,2021-05-05 09:45:00.000000,2021-05-05 09:00:00.000000,21307074,1298406,false,2021-06-01 18:55:06.714000
245207851,196635245,,awaiting_feedback,2021-05-26 10:25:12.539000,2021-06-02 13:15:01.589000,2021-06-02 12:15:00.000000,2021-06-02 11:00:00.000000,20904259,484361,false,2021-06-02 18:55:16.944000
245652463,200316999,,complete,2021-05-28 11:58:14.239000,2021-06-03 07:05:58.525000,2021-06-01 09:15:00.000000,2021-06-01 08:15:00.000000,21637796,1548499,false,2021-06-03 12:55:44.242000
177182671,150986586,"Yoco - Shortmarket Street, Shortmarket Hub-6-Meeting Room S (6)",complete,2020-02-19 17:01:19.438000,2020-03-02 15:39:58.475000,2020-03-02 08:45:00.000000,2020-03-02 08:00:00.000000,14710842,473239,false,2021-03-09 14:08:13.513000
169787559,144953728,,complete,2020-01-02 12:48:47.751000,2020-02-03 14:03:52.000000,2020-01-09 13:15:00.000000,2020-01-09 12:30:00.000000,12705870,1061223,false,2021-03-09 14:08:13.245000
178057994,148194761,"Yoco - Shortmarket, Shortmarket Hub-7-Boardroom (12)",complete,2020-02-25 09:41:18.451000,2020-03-13 14:39:59.046000,2020-03-10 08:30:00.000000,2020-03-10 08:00:00.000000,14422038,1298406,false,2021-03-09 14:08:13.246000
225451698,187175593,,complete,2021-02-05 07:27:18.563000,2021-03-16 15:16:15.949000,2021-02-10 09:00:00.000000,2021-02-10 08:00:00.000000,18468558,484360,false,2021-03-16 18:33:07.539000
173853561,146802318,Yoco - Shortmarket Street,complete,2020-01-29 12:08:09.940000,2021-01-27 12:24:08.882000,2020-01-30 10:00:00.000000,2020-01-30 09:00:00.000000,14101936,473239,false,2021-03-09 14:08:13.246000
226079777,187732932,,complete,2021-02-09 11:19:03.417000,2021-04-12 15:17:56.157000,2021-02-09 07:00:00.000000,2021-02-09 06:00:00.000000,18208836,1298406,false,2021-04-12 18:28:26.857000
180468027,153905640,Remote,complete,2020-03-11 08:28:12.415000,2020-04-16 10:54:11.008000,2020-03-13 07:30:00.000000,2020-03-13 07:00:00.000000,14430303,473239,false,2021-03-09 14:08:13.764000
243525498,198916857,,awaiting_feedback,2021-05-17 14:28:45.958000,2021-05-24 13:00:09.488000,2021-05-24 12:00:00.000000,2021-05-24 11:30:00.000000,21343135,1298406,false,2021-05-24 18:56:09.408000
237188017,185858092,https://us02web.zoom.us/j/89023441597?pwd=OUxBQnc5TFFnUDV4QWp6YVZKNGFwZz09,complete,2021-04-12 06:53:25.189000,2021-05-03 16:24:53.126000,2021-04-12 11:00:00.000000,2021-04-12 10:30:00.000000,20800662,1548499,false,2021-05-03 18:28:17.427000
178280947,152347282,"Yoco - Shortmarket, Parkhurst Hub-1-JHB Office Boardroom (10)",complete,2020-02-26 11:06:17.969000,2020-04-21 09:58:45.833000,2020-03-05 15:30:00.000000,2020-03-05 14:30:00.000000,13848374,1298406,false,2021-03-09 14:08:13.515000
222415521,185221612,,awaiting_feedback,2021-01-20 14:29:12.436000,2021-02-11 12:44:00.708000,2021-01-22 09:45:00.000000,2021-01-22 09:00:00.000000,16927873,1298406,false,2021-03-09 14:08:14.030000
227522843,188718250,,awaiting_feedback,2021-02-17 12:47:20.953000,2021-04-12 15:18:21.261000,2021-02-17 15:00:00.000000,2021-02-17 14:00:00.000000,18208838,1298406,false,2021-04-12 18:28:26.857000
237522187,194317611,,scheduled,2021-04-13 16:28:41.986000,2021-04-13 20:11:41.583000,2021-04-20 09:00:00.000000,2021-04-20 08:30:00.000000,18095707,592580,false,2021-04-14 00:28:05.481000
222614024,184508354,,complete,2021-01-21 10:12:27.182000,2021-05-10 12:27:53.243000,2021-02-10 12:45:00.000000,2021-02-10 12:00:00.000000,18093186,637602,false,2021-05-10 18:32:28.770000
180477957,149016200,"Yoco - Shortmarket Street, Shortmarket Hub-6-Meeting Room S (6)",complete,2020-03-11 10:52:25.780000,2021-05-10 12:44:18.640000,2020-03-17 08:00:00.000000,2020-03-17 07:30:00.000000,14430393,473239,false,2021-05-10 18:32:28.764000
238445243,191498771,https://us02web.zoom.us/j/82467255127?pwd=YWk4dHdZUllHb3hySkV1cGVRY3daZz09,complete,2021-04-19 09:55:24.404000,2021-05-11 09:04:25.489000,2021-04-30 08:30:00.000000,2021-04-30 08:00:00.000000,20391520,1548499,false,2021-05-11 12:29:09.788000
241485624,196635245,https://us02web.zoom.us/j/83672334139?pwd=WkRucUdtaGsrL0ZNakJFV0FUS0tsZz09,complete,2021-05-05 11:10:58.684000,2021-05-26 10:25:12.798000,2021-05-07 10:30:00.000000,2021-05-07 10:00:00.000000,21364870,647037,false,2021-05-26 12:57:16.930000
174748984,138083853,"Yoco - Shortmarket Street, Shortmarket Hub-7-AV Meeting Room (7)",complete,2020-02-04 14:22:26.076000,2020-03-05 12:21:29.431000,2020-02-17 08:45:00.000000,2020-02-17 08:15:00.000000,9230590,473239,false,2021-03-09 14:08:12.481000
243019358,199157345,,complete,2021-05-13 16:08:23.249000,2021-05-26 10:10:15.626000,2021-05-24 11:30:00.000000,2021-05-24 11:00:00.000000,21307074,452419,false,2021-05-26 12:57:16.932000
242762274,198098650,,complete,2021-05-12 14:20:33.928000,2021-05-27 13:39:40.252000,2021-05-17 11:00:00.000000,2021-05-17 10:00:00.000000,21205724,484360,false,2021-05-27 18:55:39.946000
226079625,187732932,,complete,2021-02-09 11:17:11.894000,2021-04-12 15:17:56.157000,2021-02-09 15:00:00.000000,2021-02-09 14:30:00.000000,18208839,1298406,false,2021-04-12 18:28:26.857000
243516460,198975003,,complete,2021-05-17 13:47:46.947000,2021-05-26 17:48:45.567000,2021-05-20 15:30:00.000000,2021-05-20 15:00:00.000000,21525374,473161,false,2021-05-26 18:55:27.726000
