interview_interview_id,interview_name,application_id,location,interview_status,interview_end,interview_start,interview_id,organizer_id,interviewer_id,job_stage_name,department_name,job_name,job_status,interview_created_at
4345548,Former Manager,,,,,,,,,,,,,
4345752,Former Manager,,,,,,,,,,,,,
4401000,Former Manager,,,,,,,,,,,,,
4598242,Take Home Test,,,,,,,,,,,,,
4691574,Case Study,,,,,,,,,,,,,
4757520,Application Review,,,,,,,,,,,,,
4832761,Shortlist,,,,,,,,,,,,,
4890465,Case Study,,,,,,,,,,,,,
4958293,StrengthsFinders,,,,,,,,,,,,,
5089542,Cultural Fit Interview,,,,,,,,,,,,,
5201650,Shortlist,,,,,,,,,,,,,
5227565,Face to Face Interview,,,,,,,,,,,,,
5335589,Face to Face Interview,,,,,,,,,,,,,
5453292,Face to Face Interview,,,,,,,,,,,,,
5583533,Application Review,,,,,,,,,,,,,
5666901,Former Manager,,,,,,,,,,,,,
5693763,Case Study,,,,,,,,,,,,,
5806801,Former Manager,,,,,,,,,,,,,
5970111,Preliminary Screening Call,,,,,,,,,,,,,
6016205,StrengthsFinders,,,,,,,,,,,,,
6242539,Case Study,,,,,,,,,,,,,
6864463,Case Study,,,,,,,,,,,,,
7211314,Final Interview (Company Fit),141371385.0,"Yoco Shortmarket, Shortmarket Hub-7-AV Meeting Room (7)",complete,2020-01-30 11:00:00.000000,2020-01-30 10:15:00.000000,7211314.0,1298406.0,484346.0,,,,,2020-01-24 15:25:29.580000
7211314,Final Interview (Company Fit),141371385.0,"Yoco Shortmarket, Shortmarket Hub-7-AV Meeting Room (7)",complete,2020-01-30 11:00:00.000000,2020-01-30 10:15:00.000000,7211314.0,1298406.0,484362.0,,,,,2020-01-24 15:25:29.580000
7211314,Final Interview (Company Fit),167940717.0,https://us02web.zoom.us/j/84447980590?pwd=aHNTbWoyQ1Nja3JsVG50ZE9JbmV4dz09,complete,2020-08-28 13:00:00.000000,2020-08-28 12:00:00.000000,7211314.0,1298406.0,484361.0,,,,,2020-08-25 09:03:25.018000
